STATE,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
AL,1975Q1,24784.08154,23544.87747,1239.204077,0.05,0.221856336,2.30E-05
AL,1975Q2,25101.63899,23846.55704,1255.08195,0.05,0.224698972,2.79E-05
AL,1975Q3,25472.2055,24198.59523,1273.610275,0.05,0.228016123,3.66E-05
AL,1975Q4,25903.27025,24608.10674,1295.163512,0.05,0.231874827,4.82E-05
AL,1976Q1,26447.31422,25124.94851,1322.365711,0.05,0.236744873,6.19E-05
AL,1976Q2,27058.90701,25695.52271,1363.384296,0.050385786,0.242219586,7.55E-05
AL,1976Q3,27747.71899,26134.9539,1612.765087,0.058122438,0.248385531,8.95E-05
AL,1976Q4,28531.95325,26653.63882,1878.314433,0.065831961,0.255405656,0.000104399
AL,1977Q1,29394.22484,27217.21241,2177.012436,0.07406259,0.263124337,0.000121121
AL,1977Q2,30305.90933,27803.95839,2501.950938,0.082556537,0.27128534,0.000139554
AL,1977Q3,31232.0387,28387.93747,2844.101236,0.091063579,0.279575648,0.000159121
AL,1977Q4,32123.78981,28944.88162,3178.908191,0.098958068,0.287558217,0.000178478
AL,1978Q1,33016.09088,29468.2755,3547.815385,0.107457161,0.295545709,0.000200306
AL,1978Q2,33972.51192,29977.91369,3994.59823,0.117583246,0.304107175,0.000226398
AL,1978Q3,34999.99097,30524.3578,4475.633164,0.127875266,0.313304721,0.000254576
AL,1978Q4,35986.01357,31151.76487,4834.248697,0.134336878,0.322131167,0.000275878
AL,1979Q1,36896.92316,31886.16207,5010.761089,0.135804307,0.330285234,0.000286605
AL,1979Q2,37707.51009,32707.19296,5000.317134,0.13260799,0.337541256,0.000286777
AL,1979Q3,38429.97862,33567.79208,4862.186541,0.126520667,0.344008481,0.000279543
AL,1979Q4,39064.25167,34424.56132,4639.690347,0.118770747,0.349686218,0.000267345
AL,1980Q1,39592.61676,35238.99023,4353.626537,0.109960566,0.354415913,0.000251253
AL,1980Q2,40192.66,36005.78927,4186.870728,0.104170033,0.359787239,0.000242093
AL,1980Q3,40851.71049,36720.34838,4131.362113,0.101130701,0.365686773,0.000239335
AL,1980Q4,41428.17336,37379.42906,4048.744305,0.09772925,0.370847018,0.000234984
AL,1981Q1,41923.33758,37990.01531,3933.322266,0.093821783,0.375279513,0.000228875
AL,1981Q2,42377.52979,38577.40988,3800.119913,0.089672993,0.379345245,0.000221446
AL,1981Q3,42750.66658,39184.32619,3566.340385,0.083421866,0.382685403,0.000208051
AL,1981Q4,43025.03915,39850.56304,3174.476113,0.073782062,0.385141467,0.000185323
AL,1982Q1,43326.55601,40598.3434,2728.212615,0.062968601,0.387840515,0.000159306
AL,1982Q2,43738.23953,41371.81304,2366.426498,0.054104292,0.391525728,0.000138203
AL,1982Q3,44314.27824,42098.56432,2215.713912,0.05,0.396682176,0.000129409
AL,1982Q4,45054.60953,42801.87905,2252.730476,0.05,0.4033093,0.000137225
AL,1983Q1,45820.67405,43529.64035,2291.033702,0.05,0.410166777,0.000157546
AL,1983Q2,46584.50379,44255.2786,2329.22519,0.05,0.417004249,0.000190663
AL,1983Q3,47367.17504,44998.81629,2368.358752,0.05,0.424010382,0.000240608
AL,1983Q4,48162.21128,45754.10072,2408.110564,0.05,0.431127202,0.000310795
AL,1984Q1,48991.91398,46542.31828,2449.595699,0.05,0.43855434,0.000408142
AL,1984Q2,49735.50549,47248.73022,2486.775275,0.05,0.445210648,0.000518133
AL,1984Q3,50417.42982,47896.55833,2520.871491,0.05,0.451314939,0.000634747
AL,1984Q4,51031.59791,48480.01802,2551.579896,0.05,0.456812705,0.000740605
AL,1985Q1,51697.03498,49112.18323,2584.851749,0.05,0.462769408,0.000850659
AL,1985Q2,52485.03807,49860.78616,2624.251903,0.05,0.46982327,0.000994248
AL,1985Q3,53375.3108,50706.54526,2668.76554,0.05,0.477792605,0.001188236
AL,1985Q4,54327.75527,51611.36751,2716.387764,0.05,0.486318474,0.001449629
AL,1986Q1,55337.34098,52570.47393,2766.867049,0.05,0.495355847,0.001816755
AL,1986Q2,56396.08672,53576.28239,2819.804336,0.05,0.504833279,0.00232617
AL,1986Q3,57465.13649,54591.87967,2873.256825,0.05,0.514402948,0.002994153
AL,1986Q4,58499.59323,55574.61357,2924.979661,0.05,0.523662956,0.003810967
AL,1987Q1,59450.28846,56477.77404,2972.514423,0.05,0.532173167,0.004717723
AL,1987Q2,60285.49982,57271.22483,3014.274991,0.05,0.539649616,0.005629066
AL,1987Q3,61009.58429,57959.10508,3050.479215,0.05,0.546131306,0.006481158
AL,1987Q4,61662.34499,58579.22774,3083.117249,0.05,0.551974536,0.007283492
AL,1988Q1,62297.44836,59182.57595,3114.872418,0.05,0.557659706,0.008114997
AL,1988Q2,62862.54902,59719.42157,3143.127451,0.05,0.562718242,0.008816843
AL,1988Q3,63354.58525,60186.85599,3167.729262,0.05,0.567122736,0.009325322
AL,1988Q4,63831.35709,60639.78924,3191.567855,0.05,0.571390591,0.00976105
AL,1989Q1,64371.49242,61152.9178,3218.574621,0.05,0.576225648,0.010355581
AL,1989Q2,64998.88936,61748.94489,3249.944468,0.05,0.581841833,0.011247357
AL,1989Q3,65674.93625,62391.18944,3283.746812,0.05,0.587893511,0.012421523
AL,1989Q4,66332.68387,63016.04967,3316.634193,0.05,0.593781382,0.013753406
AL,1990Q1,66950.1917,63602.68212,3347.509585,0.05,0.599309044,0.015222051
AL,1990Q2,67566.27,64187.9565,3378.3135,0.05,0.604823909,0.01695717
AL,1990Q3,68127.3869,64721.01756,3406.369345,0.05,0.609846784,0.018631312
AL,1990Q4,68740.00568,65303.0054,3437.000284,0.05,0.615330681,0.020656926
AL,1991Q1,69439.54452,65967.5673,3471.977226,0.05,0.621592649,0.023229936
AL,1991Q2,70225.74001,66714.45301,3511.287,0.05,0.62863033,0.026570417
AL,1991Q3,71080.67127,67526.63771,3554.033564,0.05,0.636283303,0.030923723
AL,1991Q4,71999.53003,68399.55353,3599.976502,0.05,0.644508528,0.036748973
AL,1992Q1,72983.98769,69334.78831,3649.199385,0.05,0.653320965,0.044674346
AL,1992Q2,74026.68278,70325.34864,3701.334139,0.05,0.662654719,0.054993868
AL,1992Q3,75150.89363,71393.34895,3757.544681,0.05,0.672718166,0.068123577
AL,1992Q4,76325.80648,72509.51615,3816.290324,0.05,0.683235476,0.083419614
AL,1993Q1,77519.91988,73643.92388,3875.995994,0.05,0.693924661,0.099571261
AL,1993Q2,78729.03389,74792.58219,3936.451694,0.05,0.704748124,0.116844782
AL,1993Q3,79962.74157,75964.60449,3998.137078,0.05,0.71579174,0.136930398
AL,1993Q4,81198.90515,77138.95989,4059.945258,0.05,0.726857339,0.161643641
AL,1994Q1,82415.67635,78294.89253,4120.783817,0.05,0.737749347,0.192971429
AL,1994Q2,83592.10099,79235.61661,4356.484384,0.052115981,0.748280189,0.229825775
AL,1994Q3,84708.56119,79654.85289,5053.708302,0.059659947,0.758274256,0.266794345
AL,1994Q4,85789.31355,80168.11998,5621.193565,0.065523237,0.767948682,0.297057469
AL,1995Q1,86858.87396,80825.59649,6033.277469,0.069460692,0.777522922,0.319537786
